Original_Gene_ID,Mean_Abs_SHAP
HORVUMOREXr33HG0327270,0.00250768969359342
HORVUMOREXr31HG0051770,0.002507521829415964
HORVUMOREXr33HG0230910,0.002506948648951948
HORVUMOREXr33HG0236500,0.002498554582853103
HORVUMOREXr33HG0303420,0.00249716909849667
HORVUMOREXr34HG0357230,0.002491399757855106
HORVUMOREXr34HG0403490,0.002488142756483285
HORVUMOREXr32HG0178290,0.002487893272191286
HORVUMOREXr35HG0524610,0.0024836362092173657
HORVUMOREXr35HG0430720,0.002474574631341966
HORVUMOREXr35HG0510050,0.002473894021240994
HORVUMOREXr32HG0195080,0.002468432472232962
HORVUMOREXr34HG0411040,0.002465430672891671
HORVUMOREXr35HG0451130,0.0024616803556273227
HORVUMOREXr34HG0393710,0.0024614008547359846
HORVUMOREXr33HG0228030,0.0024472756745490187
HORVUMOREXr34HG0378950,0.002445834226673469
HORVUMOREXr33HG0323020,0.0024436106803477744
HORVUMOREXr33HG0288880,0.0024388296507822814
HORVUMOREXr33HG0230880,0.0024334076974400886
HORVUMOREXr33HG0244600,0.0024278070343279976
HORVUMOREXr34HG0398980,0.0024271230265730994
HORVUMOREXr35HG0438450,0.002426987576618558
HORVUMOREXr31HG0002870,0.002425916529609822
HORVUMOREXr35HG0507760,0.002424458687164588
HORVUMOREXr33HG0300980,0.0024217297599534505
HORVUMOREXr32HG0157250,0.0024196444808330855
HORVUMOREXr34HG0388310,0.002419011597521603
HORVUMOREXr33HG0287390,0.002413004455738701
HORVUMOREXr33HG0280160,0.0024117868571192956
HORVUMOREXr33HG0281080,0.002411747739006387
HORVUMOREXr31HG0052800,0.002410310917330207
HORVUMOREXr31HG0048070,0.002406868488251348
HORVUMOREXr35HG0530190,0.002397188424220076
HORVUMOREXr33HG0264900,0.0023970826639560985
HORVUMOREXr32HG0183860,0.0023938659986743006
HORVUMOREXr32HG0179660,0.0023928892487310805
HORVUMOREXr34HG0394640,0.00238860837649554
HORVUMOREXr31HG0087960,0.00238313225147067
HORVUMOREXr32HG0141740,0.002381424052728107
HORVUMOREXr33HG0279940,0.002380481500586029
HORVUMOREXr33HG0310680,0.002379702470061602
HORVUMOREXr31HG0016740,0.002377843636786565
HORVUMOREXr33HG0305770,0.002377172135593355
HORVUMOREXr32HG0173750,0.002374258492636727
HORVUMOREXr32HG0200980,0.002370949236501474
HORVUMOREXr35HG0494330,0.0023623568813854945
HORVUMOREXr36HG0556240,0.002362108905945206
HORVUMOREXr35HG0439620,0.002361201324456488
HORVUMOREXr33HG0245300,0.00235519698258031
HORVUMOREXr31HG0039110,0.0023525550472550095
HORVUMOREXr32HG0121830,0.002352472778875381
HORVUMOREXr33HG0306610,0.0023512670435593464
HORVUMOREXr34HG0352920,0.0023504561672598357
HORVUMOREXr35HG0497360,0.002344746352173388
HORVUMOREXr35HG0527810,0.0023408339294837786
HORVUMOREXr31HG0005620,0.0023406054271254105
HORVUMOREXr32HG0156720,0.0023395675890060374
HORVUMOREXr33HG0295580,0.002328967924677272
HORVUMOREXr32HG0163590,0.002326459601172246
HORVUMOREXr31HG0081080,0.0023259410213358933
HORVUMOREXr33HG0228140,0.002324804825911997
HORVUMOREXr33HG0314770,0.00232462358486373
HORVUMOREXr31HG0070130,0.002323391480695136
HORVUMOREXr32HG0123800,0.0023193878860911354
HORVUMOREXr34HG0354340,0.0023193468146200757
HORVUMOREXr32HG0139900,0.0023176940377743448
HORVUMOREXr34HG0391730,0.0023159906462626623
HORVUMOREXr35HG0461780,0.0023131308617303148
HORVUMOREXr35HG0508800,0.0023113980365451424
HORVUMOREXr31HG0057310,0.0023113336029928176
HORVUMOREXr32HG0151200,0.0023104245114518563
HORVUMOREXr32HG0210420,0.002305296197955613
HORVUMOREXr35HG0446480,0.0023047692482577988
HORVUMOREXr35HG0473380,0.0023040629658908074
HORVUMOREXr32HG0104520,0.0022929261857643725
HORVUMOREXr34HG0336400,0.0022892283214605413
HORVUMOREXr34HG0341890,0.0022889308932644782
HORVUMOREXr33HG0230890,0.002282820365653606
HORVUMOREXr32HG0211670,0.0022808344691293315
HORVUMOREXr35HG0422490,0.002275580949280993
HORVUMOREXr31HG0068140,0.0022719561206395156
HORVUMOREXr33HG0289780,0.002271874763391679
HORVUMOREXr33HG0285210,0.0022676586083252913
HORVUMOREXr35HG0444800,0.002264974453605646
HORVUMOREXr32HG0187610,0.002258211845473852
HORVUMOREXr31HG0043100,0.0022568239754764364
HORVUMOREXr31HG0019360,0.002253197777317837
HORVUMOREXr34HG0337230,0.0022490452341207856
HORVUMOREXr33HG0278120,0.0022379365394590424
HORVUMOREXr34HG0407060,0.002233916956975008
HORVUMOREXr34HG0405170,0.0022277736328578613
HORVUMOREXr31HG0078200,0.002226037013460882
HORVUMOREXr35HG0529550,0.002222347970091505
HORVUMOREXr34HG0359960,0.002220264426796348
HORVUMOREXr34HG0381380,0.0022119512596691492
HORVUMOREXr33HG0284790,0.0022089979333395605
HORVUMOREXr33HG0260350,0.0022086057631531732
HORVUMOREXr35HG0487690,0.002207756834141037
HORVUMOREXr33HG0317830,0.0022039091735496187
HORVUMOREXr34HG0410640,0.002203717902084463
HORVUMOREXr31HG0013700,0.002200613705581418
HORVUMOREXr31HG0082050,0.0021987508103484287
HORVUMOREXr32HG0106380,0.0021964030460003415
HORVUMOREXr34HG0360730,0.0021937739387794864
HORVUMOREXr33HG0256100,0.0021936241711955516
HORVUMOREXr35HG0481760,0.0021882780457963234
HORVUMOREXr33HG0231480,0.0021875044843545767
HORVUMOREXr33HG0222780,0.0021853894317791856
HORVUMOREXr35HG0484150,0.002178418921066623
HORVUMOREXr34HG0379100,0.0021745577490946745
HORVUMOREXr33HG0320950,0.0021704747023682104
HORVUMOREXr34HG0377280,0.0021698878499574904
HORVUMOREXr35HG0500780,0.0021696440111554694
HORVUMOREXr35HG0421370,0.0021686275176034542
HORVUMOREXr35HG0488190,0.0021642035340482834
HORVUMOREXr33HG0248130,0.0021632063771985345
HORVUMOREXr32HG0169970,0.002161295733822044
HORVUMOREXr34HG0408670,0.0021596847611363044
HORVUMOREXr34HG0338750,0.0021557911680429244
HORVUMOREXr36HG0554230,0.0021503165216199705
HORVUMOREXr33HG0306060,0.002150015861552674
HORVUMOREXr32HG0169350,0.0021486217665369622
HORVUMOREXr35HG0435980,0.0021451330920899637
HORVUMOREXr33HG0267220,0.0021420110542385374
HORVUMOREXr34HG0340900,0.002140017993806396
HORVUMOREXr31HG0033920,0.0021384555120312143
HORVUMOREXr32HG0183850,0.0021380598367977655
HORVUMOREXr35HG0509400,0.002137573267609696
HORVUMOREXr32HG0130180,0.0021340360201065776
HORVUMOREXr31HG0032570,0.0021300429859547874
HORVUMOREXr31HG0018730,0.002129689940265962
HORVUMOREXr35HG0461880,0.002129092661343748
HORVUMOREXr35HG0485300,0.002127661956183147
HORVUMOREXr35HG0512800,0.002127600525127491
HORVUMOREXr35HG0471940,0.002127330435614567
HORVUMOREXr34HG0393260,0.0021249439704115504
HORVUMOREXr31HG0081410,0.0021238088014933964
HORVUMOREXr35HG0519010,0.0021214252068602947
HORVUMOREXr31HG0075480,0.002121411316038575
HORVUMOREXr31HG0065490,0.0021199399925535545
HORVUMOREXr35HG0489580,0.0021193534536723744
HORVUMOREXr33HG0273280,0.002117956273505115
HORVUMOREXr32HG0202070,0.0021178974851318345
HORVUMOREXr32HG0200040,0.0021166770924173762
HORVUMOREXr31HG0052940,0.0021159343801286923
HORVUMOREXr34HG0338800,0.00211335392203182
